"coalesce","avg_review_score","total_orders"
"livros_importados",1,2
"flores",1,1
"musica",1,2
"artes_e_artesanato",1,1
"construcao_ferramentas_seguranca",1.2,4
"dvds_blu_ray",1.25,4
"fashion_underwear_e_moda_praia",1.58,11
"fashion_roupa_masculina",1.67,4
"agro_industria_e_comercio",1.71,7
"audio",1.71,40
"moveis_quarto",1.71,6
"casa_conforto_2",1.75,3
"tablets_impressao_imagem",1.75,3
"eletrodomesticos_2",1.79,14
"bebidas",1.81,15
"instrumentos_musicais",1.88,46
"telefonia_fixa",1.89,9
"fashion_calcados",1.9,10
"climatizacao",2,9
"pcs",2,8
"moveis_cozinha_area_de_servico_jantar_e_jardim",2.08,11
"bebes",2.08,220
"alimentos_bebidas",2.09,8
"Não Informado",2.11,100
"brinquedos",2.13,232
"sinalizacao_e_seguranca",2.14,5
"fashion_bolsas_e_acessorios",2.14,101
"construcao_ferramentas_construcao",2.14,52
"esporte_lazer",2.17,487
"relogios_presentes",2.19,395
"moveis_colchao_e_estofado",2.2,5
"cama_mesa_banho",2.2,668
"consoles_games",2.23,59
"utilidades_domesticas",2.24,300
"perfumaria",2.24,200
"pet_shop",2.25,84
"casa_conforto",2.25,37
"cool_stuff",2.26,205
"moveis_sala",2.26,29
"papelaria",2.27,146
"beleza_saude",2.29,634
"moveis_escritorio",2.29,99
"informatica_acessorios",2.3,407
"ferramentas_jardim",2.3,221
"moveis_decoracao",2.35,440
"automotivo",2.35,273
"casa_construcao",2.37,29
"telefonia",2.37,287
"eletronicos",2.37,190
"alimentos",2.38,30
"market_place",2.45,11
"eletroportateis",2.48,28
"artes",2.5,12
"portateis_casa_forno_e_cafe",2.5,4
"eletrodomesticos",2.53,33
"malas_acessorios",2.55,43
"artigos_de_natal",2.67,9
"industria_comercio_e_negocios",2.73,15
"construcao_ferramentas_jardim",2.92,10
"portateis_cozinha_e_preparadores_de_alimentos",3,1
"livros_interesse_geral",3.06,31
"construcao_ferramentas_iluminacao",3.09,16
"livros_tecnicos",3.19,21
"cine_foto",3.25,4
"construcao_ferramentas_ferramentas",3.4,5
"fashion_roupa_feminina",4,2
"fashion_esporte",5,1
